Genotype,Exp,Loc,Yield,Pro,Oil,Mat
WH8978,23-C-201E,Ames01,69.95,35.7,19.85,2.5
WH8978,23-C-201E,Crawfordsville,90.08,33.8,20.5,2.1
GL4181,23-C-201E,Lucas,62.19,34.9,20.1,
GL4181,23-C-201E,Ames01,77.28,36.45,19.4,2.7
GL4181,23-C-201E,Sutherland,75.34,,,2.5
GL4181,23-C-201E,Ames02,77.5,,,
GL4181,23-C-201E,Crawfordsville,93.8,35.05,19.8,2.5
GL4181,23-C-201E,Jerico,65.69,,,
CS8752,23-C-201E,Crawfordsville,84.46,32.2,20.5,2.3
CS8752,23-C-201E,Jerico,53.52,,,
CS8752,23-C-201E,Sutherland,71.19,,,2.7
CS8752,23-C-201E,Lucas,66.44,32.3,20.75,
CS8752,23-C-201E,Ames02,66.22,,,
CS8752,23-C-201E,Ames01,68.43,34.1,20.25,2.7
TY2351,23-C-201E,Ames01,88.18,,,2.7
TY2351,23-C-201E,Crawfordsville,85.68,34.15,20.15,2.5
TY2351,23-C-201E,Lucas,62.64,33.8,20.25,
TY2351,23-C-201E,Jerico,61.77,,,
TY2351,23-C-201E,Ames02,73.26,,,
TY2351,23-C-201E,Sutherland,68.2,,,2.5
KS9355,23-C-201E,Crawfordsville,82.33,34.25,20.6,2.3
KS9355,23-C-201E,Sutherland,66.45,,,2.1
KS9355,23-C-201E,Jerico,60.32,,,
KS9355,23-C-201E,Ames02,66.28,,,
KS9355,23-C-201E,Lucas,57.39,33.85,21,
KS9355,23-C-201E,Ames01,80.35,35.3,20.25,2.5
CV2425,23-C-201E,Crawfordsville,85.29,33.9,20,2.3
CV2425,23-C-201E,Ames01,67.26,35.55,19.3,2.5
CV2425,23-C-201E,Lucas,68.11,34.4,20.1,
CV2425,23-C-201E,Jerico,69.11,,,
CV2425,23-C-201E,Ames02,70.65,,,
CV2425,23-C-201E,Sutherland,67.51,,,2.3
XR5245,23-C-201E,Sutherland,43.73,,,1.9
XR5245,23-C-201E,Lucas,57.14,34.35,20.05,
XR5245,23-C-201E,Ames01,78.46,35.85,19.9,2.1
XR5245,23-C-201E,Ames02,58.03,,,
XR5245,23-C-201E,Crawfordsville,81.53,33.55,20.7,1.9
XR5245,23-C-201E,Jerico,60.53,,,
UT3569,23-C-201E,Crawfordsville,80.76,34.7,19.05,2.3
UT3569,23-C-201E,Jerico,61.45,,,
UT3569,23-C-201E,Lucas,59.24,34.45,19.45,
UT3569,23-C-201E,Sutherland,65.39,,,2.1
UT3569,23-C-201E,Ames01,65.26,36,18.8,2.5
UT3569,23-C-201E,Ames02,69.86,,,
AB1232,23-C-201E,Sutherland,56.68,,,2.9
AB1232,23-C-201E,Lucas,74.84,32.95,21.4,
AB1232,23-C-201E,Crawfordsville,87.82,,,2.5
AB1232,23-C-201E,Jerico,56.02,,,
AB1232,23-C-201E,Ames01,81.26,34.45,20.35,2.9
AB1232,23-C-201E,Ames02,73.27,,,
AA5433,23-C-201E,Sutherland,77.19,,,2.1
AA5433,23-C-201E,Crawfordsville,81.17,33.5,20.3,2.1
AA5433,23-C-201E,Ames01,80.18,35.35,19.65,2.3
AA5433,23-C-201E,Jerico,64.65,,,
AA5433,23-C-201E,Lucas,66.05,32.65,20.4,
AA5433,23-C-201E,Ames02,71.62,,,
WB2260,23-C-201E,Crawfordsville,77.35,,,2.1
WB2260,23-C-201E,Jerico,65.57,,,
WB2260,23-C-201E,Sutherland,61.38,,,1.9
WB2260,23-C-201E,Ames02,65.23,,,
WB2260,23-C-201E,Ames01,78.78,35.5,20.15,1.9
WB2260,23-C-201E,Lucas,63.65,33.7,20.6,
HC8546,23-C-201E,Crawfordsville,93.83,33.8,20.25,2.3
HC8546,23-C-201E,Ames01,83.47,35.2,19.95,2.7
HC8546,23-C-201E,Sutherland,70.9,,,2.3
HC8546,23-C-201E,Ames02,70.24,,,
HC8546,23-C-201E,Lucas,72.39,33.4,20.4,
HC8546,23-C-201E,Jerico,64.87,,,
KC7724,23-C-201E,Lucas,73.25,33.5,20.85,
KC7724,23-C-201E,Jerico,62.44,,,
KC7724,23-C-201E,Ames02,66.01,,,
KC7724,23-C-201E,Sutherland,64.79,,,2.7
KC7724,23-C-201E,Ames01,83.63,35.1,20.05,2.5
KC7724,23-C-201E,Crawfordsville,90.61,33.2,21.05,2.5
ND7822,23-C-201E,Ames01,76.68,35,19.85,1.9
ND7822,23-C-201E,Sutherland,68.74,,,2.3
ND7822,23-C-201E,Jerico,66.37,,,
ND7822,23-C-201E,Lucas,73.01,32.9,20.15,
ND7822,23-C-201E,Ames02,69.26,,,
ND7822,23-C-201E,Crawfordsville,82.78,33.2,20.4,2.1
LT2159,23-C-201E,Lucas,67.59,33.05,20.7,
LT2159,23-C-201E,Sutherland,75.63,,,2.5
LT2159,23-C-201E,Jerico,68.16,,,
LT2159,23-C-201E,Ames01,76.25,35.2,19.85,2.7
LT2159,23-C-201E,Crawfordsville,91.62,33.95,20.55,2.5
LT2159,23-C-201E,Ames02,76.26,,,
WS1192,23-C-201E,Lucas,64.15,33.2,21.2,
WS1192,23-C-201E,Sutherland,67.72,,,2.1
WS1192,23-C-201E,Ames02,65.88,,,
WS1192,23-C-201E,Crawfordsville,88.61,33.75,21.1,2.3
WS1192,23-C-201E,Jerico,64.75,,,
WS1192,23-C-201E,Ames01,87.03,,,2.5
FE7563,23-C-201E,Ames01,82.59,34.6,20.15,2.7
FE7563,23-C-201E,Jerico,60.28,,,
FE7563,23-C-201E,Sutherland,72.81,,,2.5
FE7563,23-C-201E,Crawfordsville,80.86,32.6,21.1,2.5
FE7563,23-C-201E,Lucas,60.79,32.55,21.2,
FE7563,23-C-201E,Ames02,75.17,,,
NN7416,23-C-201E,Lucas,74.14,32.45,20.9,
NN7416,23-C-201E,Crawfordsville,86.34,33.35,20.75,2.5
NN7416,23-C-201E,Ames02,76.8,,,
NN7416,23-C-201E,Ames01,74,,,2.5
NN7416,23-C-201E,Sutherland,72.17,,,2.7
NN7416,23-C-201E,Jerico,66.63,,,
DL8320,23-C-201E,Crawfordsville,86.41,33.5,21,2.3
DL8320,23-C-201E,Sutherland,76.22,,,2.5
DL8320,23-C-201E,Jerico,62.94,,,
DL8320,23-C-201E,Ames01,77.58,35.2,20.3,1.9
DL8320,23-C-201E,Ames02,66.99,,,
DL8320,23-C-201E,Lucas,70,33,21.05,
JZ4190,23-C-201E,Ames02,64.04,,,
JZ4190,23-C-201E,Ames01,87.18,36.35,19.45,2.1
JZ4190,23-C-201E,Jerico,62.36,,,
JZ4190,23-C-201E,Lucas,71.37,35.15,20.05,
JZ4190,23-C-201E,Sutherland,60.4,,,2.1
JZ4190,23-C-201E,Crawfordsville,94.68,34.6,19.6,2.1
GO8660,23-C-202E,Sutherland,70.19,,,2.5
GO8660,23-C-202E,Lucas,84.58,34.3,20.25,
GO8660,23-C-202E,Ames01,81.94,36.2,19.55,2.7
GO8660,23-C-202E,Crawfordsville,88.09,34.85,20.1,2.9
GO8660,23-C-202E,Jerico,66.32,,,
GO8660,23-C-202E,Ames02,69.16,,,
MM4235,23-C-202E,Lucas,71.88,32.45,21.2,
MM4235,23-C-202E,Ames01,85.66,35.3,19.8,2.5
MM4235,23-C-202E,Jerico,60.9,,,
MM4235,23-C-202E,Sutherland,78.34,,,2.5
MM4235,23-C-202E,Ames02,70.91,,,
MM4235,23-C-202E,Crawfordsville,81.58,34,20.15,2.5
FX3476,23-C-202E,Sutherland,85.88,,,2.9
FX3476,23-C-202E,Lucas,70.54,33.05,20.7,
FX3476,23-C-202E,Jerico,67.93,,,
FX3476,23-C-202E,Ames02,70.73,,,
FX3476,23-C-202E,Ames01,69.12,35.65,19.65,2.7
FX3476,23-C-202E,Crawfordsville,93.44,33.6,20.9,2.5
NI3930,23-C-202E,Lucas,78.61,34.45,20.4,
NI3930,23-C-202E,Jerico,66.41,,,
NI3930,23-C-202E,Crawfordsville,70.53,33.9,20.65,2.5
NI3930,23-C-202E,Ames01,71.71,36.1,19.55,2.7
NI3930,23-C-202E,Sutherland,78.12,,,2.5
NI3930,23-C-202E,Ames02,68.56,,,
PY3226,23-C-202E,Ames02,65.66,,,
PY3226,23-C-202E,Lucas,62.89,32.8,21.25,
PY3226,23-C-202E,Sutherland,69.84,,,2.9
PY3226,23-C-202E,Crawfordsville,72.99,32.8,21.2,2.5
PY3226,23-C-202E,Ames01,85.76,34.65,20.55,2.5
PY3226,23-C-202E,Jerico,54.38,,,
EJ8002,23-C-202E,Ames02,64.55,,,
EJ8002,23-C-202E,Lucas,67.62,33.3,20.7,
EJ8002,23-C-202E,Crawfordsville,68.74,33.55,20.5,2.1
EJ8002,23-C-202E,Sutherland,72.62,,,2.1
EJ8002,23-C-202E,Jerico,58.78,,,
EJ8002,23-C-202E,Ames01,82.71,35.7,20,2.1
QH8173,23-C-202E,Jerico,64.82,,,
QH8173,23-C-202E,Lucas,66.28,33,20.75,
QH8173,23-C-202E,Ames02,62.27,,,
QH8173,23-C-202E,Crawfordsville,70.64,32,21.2,2.1
QH8173,23-C-202E,Ames01,85,35.2,19.75,2.1
QH8173,23-C-202E,Sutherland,68.37,,,1.9
BB9185,23-C-202E,Lucas,70.26,33,21.5,
BB9185,23-C-202E,Crawfordsville,77.46,33.35,20.8,2.5
BB9185,23-C-202E,Sutherland,70.23,,,2.3
