Genotype,Exp,Loc,Yield,Pro,Oil,Mat
DI5088,23-C-206L,Urbana,38.88,,,
DI5088,23-C-206L,Ames02,60.82,,,
PR2474,23-C-206L,Crawfordsville,94.56,35.75,19.75,2.7
PR2474,23-C-206L,Ames01,83.76,36.6,19.25,2.7
PR2474,23-C-206L,Ames02,76.44,,,
PR2474,23-C-206L,Urbana,52.07,,,
PR2474,23-C-206L,Lucas,68.64,35.75,20.35,2.7
PR2474,23-C-206L,RockPort,63.48,,,
QV8795,23-C-206L,Ames02,71.92,,,
QV8795,23-C-206L,Crawfordsville,88.63,35.05,19.95,2.7
QV8795,23-C-206L,Ames01,87.27,36.15,19.8,2.9
QV8795,23-C-206L,RockPort,66.17,,,
QV8795,23-C-206L,Lucas,70.99,35.25,20.3,3.3
QV8795,23-C-206L,Urbana,54.03,,,
BV8715,23-C-206L,Ames02,78.03,,,
BV8715,23-C-206L,Lucas,74.14,34.5,20.75,2.9
BV8715,23-C-206L,Urbana,59.51,,,
BV8715,23-C-206L,Crawfordsville,92.89,35.3,19.75,2.9
BV8715,23-C-206L,Ames01,88.64,35.45,20.05,2.7
BV8715,23-C-206L,RockPort,76.67,,,
KF7257,23-C-206L,Crawfordsville,89.11,33.75,20.65,2.7
KF7257,23-C-206L,RockPort,65.35,,,
KF7257,23-C-206L,Ames02,72.73,,,
KF7257,23-C-206L,Lucas,73.94,33.85,21.1,2.7
KF7257,23-C-206L,Ames01,81.1,35.05,20.4,2.7
KF7257,23-C-206L,Urbana,58.12,,,
OO6096,23-C-206L,RockPort,68.89,,,
OO6096,23-C-206L,Ames02,67.11,,,
OO6096,23-C-206L,Crawfordsville,94.29,33.55,20.75,2.7
OO6096,23-C-206L,Lucas,64.31,33.6,21.35,2.7
OO6096,23-C-206L,Ames01,80.56,34.75,20.45,2.7
OO6096,23-C-206L,Urbana,56.83,,,
TP4618,23-C-206L,Ames01,72.31,34,20.5,3.1
TP4618,23-C-206L,Ames02,71.12,,,
TP4618,23-C-206L,RockPort,61.63,,,
TP4618,23-C-206L,Urbana,51.54,,,
TP4618,23-C-206L,Crawfordsville,91.51,33.35,20.7,2.9
TP4618,23-C-206L,Lucas,66.98,33.15,21,3.1
CX5496,23-C-206L,RockPort,71.57,,,
CX5496,23-C-206L,Urbana,58.67,,,
CX5496,23-C-206L,Lucas,72.93,33.1,21.25,2.5
CX5496,23-C-206L,Ames02,71.51,,,
CX5496,23-C-206L,Crawfordsville,87.7,32.75,21.3,2.7
CX5496,23-C-206L,Ames01,95.21,33.3,21.1,2.7
ZZ3874,23-C-206L,Crawfordsville,87.81,33.75,20.1,2.9
ZZ3874,23-C-206L,Ames01,66.59,33.75,20.3,2.9
ZZ3874,23-C-206L,Ames02,75.77,,,
ZZ3874,23-C-206L,Lucas,64.94,32.35,20.75,2.9
ZZ3874,23-C-206L,Urbana,60.1,,,
ZZ3874,23-C-206L,RockPort,74.93,,,
YP4788,23-C-206L,Ames02,74.11,,,
YP4788,23-C-206L,Crawfordsville,95.44,33.65,19.9,2.9
YP4788,23-C-206L,Lucas,71.33,33.5,20.1,2.9
YP4788,23-C-206L,RockPort,67.89,,,
YP4788,23-C-206L,Ames01,74.19,34.5,19.5,3.1
YP4788,23-C-206L,Urbana,56.85,,,
QS2481,23-C-206L,Ames02,74.81,,,
QS2481,23-C-206L,Crawfordsville,83.9,32.55,21.5,2.3
QS2481,23-C-206L,Ames01,84.78,34.15,20.9,2.7
QS2481,23-C-206L,RockPort,75.81,,,
QS2481,23-C-206L,Lucas,74.6,32.45,21.85,2.7
QS2481,23-C-206L,Urbana,63.47,,,
JG6265,23-C-206L,Lucas,69.45,32.7,21.3,2.5
JG6265,23-C-206L,RockPort,69.88,,,
JG6265,23-C-206L,Ames02,69.56,,,
JG6265,23-C-206L,Urbana,59,,,
JG6265,23-C-206L,Crawfordsville,93.55,33.3,21.05,2.9
JG6265,23-C-206L,Ames01,82.81,33.95,20.85,2.7
YF5698,23-C-206L,RockPort,57.93,,,
YF5698,23-C-206L,Urbana,52.54,,,
YF5698,23-C-206L,Ames02,75.13,,,
YF5698,23-C-206L,Crawfordsville,96.1,34.4,20.2,2.7
YF5698,23-C-206L,Lucas,70.13,33.25,21.5,2.7
YF5698,23-C-206L,Ames01,80.41,34.3,20.85,2.7
RH7558,23-C-206L,Urbana,51.88,,,
RH7558,23-C-206L,Lucas,77.79,33.8,21.15,2.9
RH7558,23-C-206L,Crawfordsville,95.97,34.05,20.55,2.9
RH7558,23-C-206L,RockPort,70.88,,,
RH7558,23-C-206L,Ames02,71.65,,,
RH7558,23-C-206L,Ames01,75.88,35.4,20.15,2.9
HT2901,23-C-206L,Ames01,75.51,33.8,21.4,2.7
HT2901,23-C-206L,Lucas,81.23,32.15,21.85,2.7
HT2901,23-C-206L,Crawfordsville,89.76,32.7,21.5,2.7
HT2901,23-C-206L,RockPort,76.73,,,
HT2901,23-C-206L,Urbana,58.06,,,
HT2901,23-C-206L,Ames02,74.92,,,
JK6688,23-C-206L,Crawfordsville,90.04,32.9,21.2,2.7
JK6688,23-C-206L,Lucas,75.12,33.25,21.4,3.1
JK6688,23-C-206L,Ames02,71.5,,,
JK6688,23-C-206L,Urbana,59.69,,,
JK6688,23-C-206L,RockPort,74.58,,,
JK6688,23-C-206L,Ames01,77.71,33.6,21.25,2.5
GQ3814,23-C-206L,Ames01,89.31,33.75,20.9,2.7
GQ3814,23-C-206L,Ames02,70.05,,,
GQ3814,23-C-206L,Crawfordsville,96.12,32.8,20.6,2.9
GQ3814,23-C-206L,Lucas,62.05,33.05,21.7,2.7
GQ3814,23-C-206L,RockPort,78.75,,,
GQ3814,23-C-206L,Urbana,54.89,,,
JS7057,23-C-206L,Lucas,71.84,36.8,18.65,3.3
JS7057,23-C-206L,Ames01,74.14,37.1,18.35,2.7
JS7057,23-C-206L,Crawfordsville,88.31,36.6,18.3,2.9
JS7057,23-C-206L,Ames02,67.59,,,
JS7057,23-C-206L,RockPort,70.15,,,
JS7057,23-C-206L,Urbana,59.59,,,
WC9060,23-C-206L,Urbana,63.35,,,
WC9060,23-C-206L,Ames01,76.89,34.3,20.25,2.7
WC9060,23-C-206L,Lucas,72.36,32.8,20.95,3.1
WC9060,23-C-206L,Crawfordsville,90.86,33.5,20.3,2.9
WC9060,23-C-206L,RockPort,71.26,,,
WC9060,23-C-206L,Ames02,78.48,,,
OZ3939,23-C-206L,Ames01,75.41,36.2,19.2,3.1
OZ3939,23-C-206L,Urbana,57.02,,,
OZ3939,23-C-206L,Lucas,72.93,35.3,20,3.1
OZ3939,23-C-206L,RockPort,62.24,,,
OZ3939,23-C-206L,Ames02,79.2,,,
OZ3939,23-C-206L,Crawfordsville,86.68,35.65,19.3,2.9
OQ4025,23-C-206L,Ames01,85.73,34.35,20.75,2.5
OQ4025,23-C-206L,Lucas,66.94,33.2,21.25,2.7
OQ4025,23-C-206L,Crawfordsville,81.02,33.65,20.45,2.5
OQ4025,23-C-206L,RockPort,61.84,,,
OQ4025,23-C-206L,Urbana,53.59,,,
OQ4025,23-C-206L,Ames02,65.81,,,
OL4815,23-C-206L,Crawfordsville,92.3,32.95,20.3,3.1
OL4815,23-C-206L,Lucas,68.87,32.75,21,2.9
OL4815,23-C-206L,RockPort,62.66,,,
OL4815,23-C-206L,Ames01,77.48,33.9,20.2,2.7
OL4815,23-C-206L,Ames02,70.8,,,
OL4815,23-C-206L,Urbana,58.51,,,
RX1880,23-C-206L,Crawfordsville,76.11,34.5,20.3,2.7
RX1880,23-C-206L,Ames02,68.94,,,
RX1880,23-C-206L,RockPort,61.62,,,
RX1880,23-C-206L,Lucas,70.59,34.65,20.75,2.7
RX1880,23-C-206L,Urbana,57.43,,,
RX1880,23-C-206L,Ames01,78.76,36,20.1,2.7
MO4358,23-C-206L,Crawfordsville,75.56,34.25,20.05,2.5
MO4358,23-C-206L,Ames01,80.87,35.05,20.05,2.7
MO4358,23-C-206L,Ames02,67.68,,,
MO4358,23-C-206L,RockPort,57.67,,,
MO4358,23-C-206L,Urbana,56.57,,,
MO4358,23-C-206L,Lucas,72.28,34.4,20.7,2.9
RI8859,23-C-206L,Crawfordsville,85.72,35.15,20.5,2.5
RI8859,23-C-206L,Urbana,54.94,,,
RI8859,23-C-206L,Ames02,68.89,,,
RI8859,23-C-206L,RockPort,60.98,,,
RI8859,23-C-206L,Lucas,64.72,34.15,21.15,2.5
RI8859,23-C-206L,Ames01,83.71,35.15,20.55,2.7
OT0114,23-C-206L,Urbana,47.36,,,
OT0114,23-C-206L,RockPort,58.16,,,
OT0114,23-C-206L,Crawfordsville,76.6,34.8,20.2,2.3
OT0114,23-C-206L,Ames01,75.65,35.25,20.05,1.9
OT0114,23-C-206L,Ames02,68.72,,,
OT0114,23-C-206L,Lucas,61.35,33.5,21.15,2.3
LD9792,23-C-206L,Ames02,72.63,,,
LD9792,23-C-206L,Crawfordsville,79.12,36.35,18.55,3.1
LD9792,23-C-206L,Lucas,71.79,36.55,19.5,2.7
LD9792,23-C-206L,Urbana,54.88,,,
LD9792,23-C-206L,Ames01,75.91,37.6,18.55,2.7
LD9792,23-C-206L,RockPort,55.98,,,
TS9104,23-C-206L,Urbana,57.72,,,
TS9104,23-C-206L,Ames02,77.42,,,
TS9104,23-C-206L,Lucas,70.72,36,20.25,2.9
TS9104,23-C-206L,Ames01,92.16,36.7,19.65,2.7
TS9104,23-C-206L,RockPort,70.96,,,
TS9104,23-C-206L,Crawfordsville,82.46,36,19.65,2.7
RP1511,23-C-206L,Lucas,67.21,32.6,21.15,2.7
RP1511,23-C-206L,Ames02,69.05,,,
RP1511,23-C-206L,Crawfordsville,79.05,32.85,20.6,2.9
RP1511,23-C-206L,Ames01,75.97,33.35,20.85,2.7
RP1511,23-C-206L,RockPort,66.76,,,
RP1511,23-C-206L,Urbana,58.19,,,
SP6957,23-C-206L,Ames01,77.7,34.75,20.45,2.7
SP6957,23-C-206L,Crawfordsville,89.54,34.45,20.2,2.7
SP6957,23-C-206L,Urbana,57.87,,,
SP6957,23-C-206L,Ames02,69.61,,,
SP6957,23-C-206L,Lucas,67.56,34.05,20.8,2.7
SP6957,23-C-206L,RockPort,63.72,,,
FR9481,23-C-206L,Crawfordsville,90.49,34.05,21.35,2.5
FR9481,23-C-206L,Ames01,69.46,34.85,20.8,2.5
FR9481,23-C-206L,Lucas,71.17,33.75,21.5,2.7
FR9481,23-C-206L,Ames02,68.73,,,
FR9481,23-C-206L,Urbana,52.66,,,
FR9481,23-C-206L,RockPort,67.38,,,
JM3127,23-C-206L,RockPort,61.05,,,
JM3127,23-C-206L,Crawfordsville,92.25,33.2,21.15,2.7
JM3127,23-C-206L,Lucas,66.92,32.85,21.5,2.7
JM3127,23-C-206L,Ames01,82.82,33.95,20.95,2.7
JM3127,23-C-206L,Ames02,70.59,,,
JM3127,23-C-206L,Urbana,57.49,,,
YX4867,23-C-206L,Ames02,72.84,,,
YX4867,23-C-206L,Crawfordsville,76.89,34.6,20.3,2.7
YX4867,23-C-206L,Ames01,79.98,36.05,20.25,2.5
YX4867,23-C-206L,Urbana,57.44,,,
YX4867,23-C-206L,RockPort,65.8,,,
YX4867,23-C-206L,Lucas,70.43,34.3,20.9,2.5
JW3419,23-C-206L,Crawfordsville,87.13,33.35,20.55,2.5
JW3419,23-C-206L,Lucas,71.98,33.4,20.95,2.7
JW3419,23-C-206L,Urbana,56.53,,,
JW3419,23-C-206L,Ames02,70.58,,,
JW3419,23-C-206L,RockPort,62.97,,,
JW3419,23-C-206L,Ames01,78.09,34.7,20.35,2.5
JG7479,23-C-206L,Ames02,72.35,,,
JG7479,23-C-206L,Crawfordsville,89.58,34.3,20.25,2.7
JG7479,23-C-206L,Lucas,77.12,33.45,21.15,2.9
JG7479,23-C-206L,Urbana,62.79,,,
JG7479,23-C-206L,RockPort,61.72,,,
JG7479,23-C-206L,Ames01,81.23,34.9,20.5,2.7
AV3901,23-C-206L,Ames02,70.92,,,
AV3901,23-C-206L,Crawfordsville,79.25,33.25,20.95,2.5
AV3901,23-C-206L,Lucas,70.82,32.95,21.3,2.7
AV3901,23-C-206L,RockPort,70.86,,,
AV3901,23-C-206L,Ames01,81.02,,,2.5
AV3901,23-C-206L,Urbana,57.41,,,
RN0720,23-C-206L,Ames02,72.95,,,
RN0720,23-C-206L,Urbana,58.66,,,
RN0720,23-C-206L,RockPort,67.5,,,
RN0720,23-C-206L,Lucas,66.78,32.8,21.1,2.5
RN0720,23-C-206L,Ames01,81.35,34.65,20.05,2.5
RN0720,23-C-206L,Crawfordsville,77.21,33.25,20.65,2.7
GS8584,23-C-206L,Urbana,56.44,,,
GS8584,23-C-206L,Ames01,75.99,35.4,20.35,2.9
GS8584,23-C-206L,RockPort,61.17,,,
GS8584,23-C-206L,Crawfordsville,89.54,34.9,19.8,3.1
GS8584,23-C-206L,Lucas,69.33,34.4,20.6,2.7
GS8584,23-C-206L,Ames02,79.91,,,
AM3573,23-C-301,Ames02,77.94,,,
AM3573,23-C-301,Crawfordsville,80.94,34.1,19.2,2.9
AM3573,23-C-301,Lucas,78.62,35.2,19.15,2.9
AM3573,23-C-301,Urbana,53.5,,,
AM3573,23-C-301,Ames01,84.3,34.7,19.45,3.5
AM3573,23-C-301,RockPort,73.02,,,
AM9232,23-C-301,Urbana,59.28,,,
AM9232,23-C-301,Ames02,70.44,,,
AM9232,23-C-301,Crawfordsville,90.05,33.6,20.1,2.9
AM9232,23-C-301,Lucas,69.94,33.95,20.45,2.9
AM9232,23-C-301,Ames01,85.63,33.9,20.15,3.1
AM9232,23-C-301,RockPort,78.61,,,
PB8686,23-C-301,Crawfordsville,91.88,33.55,19.5,2.9
PB8686,23-C-301,RockPort,68.84,,,
PB8686,23-C-301,Urbana,57.56,,,
PB8686,23-C-301,Ames01,88.83,33.9,20,2.7
PB8686,23-C-301,Lucas,80.14,33.4,20.75,2.5
PB8686,23-C-301,Ames02,73.11,,,
RF2158,23-C-301,RockPort,73.29,,,
RF2158,23-C-301,Lucas,62.15,34.25,20.15,2.7
RF2158,23-C-301,Ames01,70.46,34.3,19.65,2.9
RF2158,23-C-301,Ames02,76.47,,,
RF2158,23-C-301,Urbana,58.08,,,
RF2158,23-C-301,Crawfordsville,84.18,33.9,19.65,2.9
VC7671,23-C-301,Urbana,58.71,,,
VC7671,23-C-301,Crawfordsville,89.73,34.2,19.35,2.9
VC7671,23-C-301,Lucas,74.8,33.5,20.5,2.7
VC7671,23-C-301,RockPort,78.77,,,
VC7671,23-C-301,Ames01,82.87,34.6,19.7,2.9
VC7671,23-C-301,Ames02,75.14,,,
HO7069,23-C-301,Lucas,81.58,34.1,20,2.7
HO7069,23-C-301,RockPort,73.9,,,
HO7069,23-C-301,Ames02,78.78,,,
HO7069,23-C-301,Urbana,57.37,,,
HO7069,23-C-301,Ames01,78.45,34.05,20,3.1
HO7069,23-C-301,Crawfordsville,81.82,32.55,20.15,2.7
OM4263,23-C-301,Ames02,77.03,,,
OM4263,23-C-301,Ames01,82.48,35.25,19.3,3.7
OM4263,23-C-301,Crawfordsville,83.77,34.2,19.95,2.7
OM4263,23-C-301,Lucas,75.82,35.05,19.6,3.1
OM4263,23-C-301,Urbana,63.27,,,
OM4263,23-C-301,RockPort,74.41,,,
ZN0632,23-C-301,Ames02,72.05,,,
ZN0632,23-C-301,Crawfordsville,92.94,34.1,20.1,3.3
ZN0632,23-C-301,RockPort,78.33,,,
ZN0632,23-C-301,Ames01,80.19,34.75,19.75,3.5
ZN0632,23-C-301,Urbana,55.51,,,
ZN0632,23-C-301,Lucas,77.51,35.15,20.2,2.9
GB1070,23-C-301,Lucas,85.58,34.2,19.7,2.9
GB1070,23-C-301,Ames01,90.67,34.15,19.55,3.7
GB1070,23-C-301,RockPort,83.3,,,
GB1070,23-C-301,Urbana,64.57,,,
GB1070,23-C-301,Crawfordsville,98.89,33.1,19.55,3.5
GB1070,23-C-301,Ames02,80.69,,,
RG9118,23-C-301,Urbana,63.98,,,
RG9118,23-C-301,Ames02,72.35,,,
RG9118,23-C-301,RockPort,79.79,,,
RG9118,23-C-301,Lucas,71.72,34.7,19.85,3.3
RG9118,23-C-301,Crawfordsville,88.75,33.75,19.95,2.9
RG9118,23-C-301,Ames01,82.12,34.65,19.45,3.7
QD5076,23-C-301,Lucas,81.81,34.55,19.85,2.9
QD5076,23-C-301,Ames02,70.84,,,
QD5076,23-C-301,Crawfordsville,86.88,33.55,19.85,3.1
QD5076,23-C-301,Urbana,60.3,,,
QD5076,23-C-301,RockPort,80.31,,,
QD5076,23-C-301,Ames01,82.45,34.35,19.65,3.5
VU0295,23-C-301,RockPort,79.37,,,
VU0295,23-C-301,Urbana,57.38,,,
VU0295,23-C-301,Ames01,94.24,33.65,20,3.1
VU0295,23-C-301,Ames02,78.09,,,
VU0295,23-C-301,Crawfordsville,88.65,33.2,20.05,3.1
VU0295,23-C-301,Lucas,79.54,34.1,20.15,3.1
AK0242,23-C-301,Lucas,73.68,32.75,21.35,2.7
AK0242,23-C-301,Urbana,59.84,,,
AK0242,23-C-301,RockPort,79.03,,,
AK0242,23-C-301,Ames02,72.07,,,
AK0242,23-C-301,Crawfordsville,85.38,32.2,21,2.7
AK0242,23-C-301,Ames01,83.11,32.8,21.15,3.1
RK4809,23-C-301,Ames02,75.56,,,
RK4809,23-C-301,Lucas,78.01,34.3,20.6,2.7
RK4809,23-C-301,Ames01,79.18,33.95,20.5,3.3
RK4809,23-C-301,Crawfordsville,88.96,33.3,20.8,2.9
RK4809,23-C-301,Urbana,60.22,,,
RK4809,23-C-301,RockPort,76.82,,,
GR9843,23-C-301,RockPort,84.57,,,
GR9843,23-C-301,Ames01,82.15,33.8,20.6,3.5
GR9843,23-C-301,Crawfordsville,91.48,33.15,21.1,2.9
GR9843,23-C-301,Lucas,83.4,34,20.85,2.7
GR9843,23-C-301,Urbana,66.02,,,
GR9843,23-C-301,Ames02,72.86,,,
JW2150,23-C-301,Lucas,70.26,34.95,20.75,3.1
JW2150,23-C-301,Urbana,57.94,,,
JW2150,23-C-301,Ames01,77.46,35.3,19.9,3.7
JW2150,23-C-301,Ames02,73.9,,,
JW2150,23-C-301,Crawfordsville,88.91,34.6,20.1,3.5
JW2150,23-C-301,RockPort,63.32,,,
OM0586,23-C-301,Lucas,73.82,32.9,21.65,2.9
OM0586,23-C-301,Crawfordsville,92.33,32.1,21.8,2.9
OM0586,23-C-301,Urbana,63.42,,,
OM0586,23-C-301,Ames02,69.19,,,
OM0586,23-C-301,RockPort,81.83,,,
OM0586,23-C-301,Ames01,77.71,32.85,21.3,3.5
FF0147,23-C-301,Lucas,86.73,32.45,20.65,2.9
FF0147,23-C-301,Urbana,58.84,,,
FF0147,23-C-301,RockPort,84.68,,,
FF0147,23-C-301,Ames02,76.96,,,
FF0147,23-C-301,Ames01,86.76,33.2,20.3,3.5
FF0147,23-C-301,Crawfordsville,90.19,32.25,20.65,3.3
NR0145,23-C-301,Crawfordsville,87.04,33,20.2,3.1
NR0145,23-C-301,RockPort,75.32,,,
NR0145,23-C-301,Ames02,76.78,,,
NR0145,23-C-301,Urbana,56.14,,,
NR0145,23-C-301,Ames01,79.69,33.7,20.25,3.7
NR0145,23-C-301,Lucas,78.83,33.5,20.7,3.1
UN3162,23-C-301,RockPort,80.46,,,
UN3162,23-C-301,Lucas,76.39,32.8,21.55,3.1
UN3162,23-C-301,Urbana,58.99,,,
UN3162,23-C-301,Ames01,79.49,,,3.3
UN3162,23-C-301,Ames02,67.25,,,
UN3162,23-C-301,Crawfordsville,87.11,32.2,21,3.1
EK8289,23-C-301,Urbana,60.35,,,
EK8289,23-C-301,Lucas,78.59,33.55,20.85,2.9
EK8289,23-C-301,Ames02,68.79,,,
EK8289,23-C-301,Crawfordsville,92.61,32.05,20.55,3.3
EK8289,23-C-301,RockPort,82.21,,,
EK8289,23-C-301,Ames01,85.31,34.15,20.05,3.5
LH6805,23-C-301,Ames01,71.99,33.9,20.7,3.1
LH6805,23-C-301,Lucas,77.53,33.6,21.35,2.7
LH6805,23-C-301,Ames02,74.38,,,
LH6805,23-C-301,Urbana,58.94,,,
LH6805,23-C-301,Crawfordsville,87.03,33.05,21.15,3.1
LH6805,23-C-301,RockPort,79.66,,,
NK5874,23-C-301,Ames02,71.99,,,
NK5874,23-C-301,Crawfordsville,88.23,33.4,20.25,3.5
NK5874,23-C-301,RockPort,74.69,,,
NK5874,23-C-301,Ames01,82.25,34.5,19.75,3.9
NK5874,23-C-301,Urbana,66.71,,,
NK5874,23-C-301,Lucas,83.06,33.9,20.8,3.1
OD8161,23-C-301,Crawfordsville,87.9,33.55,20.15,3.1
OD8161,23-C-301,RockPort,88.29,,,
OD8161,23-C-301,Lucas,79.09,34.75,20.1,3.1
OD8161,23-C-301,Urbana,61.77,,,
OD8161,23-C-301,Ames01,82.93,34.9,19.6,3.5
OD8161,23-C-301,Ames02,65.19,,,
RE0581,23-C-301,Urbana,64.76,,,
RE0581,23-C-301,Ames01,83.85,33.75,20.4,3.1
RE0581,23-C-301,Ames02,71.2,,,
RE0581,23-C-301,Crawfordsville,81.82,33.2,21.1,2.9
RE0581,23-C-301,RockPort,79.93,,,
RE0581,23-C-301,Lucas,83.33,34.1,20.9,3.1
CE1987,23-C-301,Lucas,78.81,34.3,20.45,3.3
CE1987,23-C-301,Crawfordsville,93.79,33.5,20.75,3.3
CE1987,23-C-301,Urbana,63.09,,,
CE1987,23-C-301,Ames01,87.35,34.35,20.3,3.5
CE1987,23-C-301,RockPort,90.58,,,
CE1987,23-C-301,Ames02,76.21,,,
JI7408,23-C-301,Lucas,69.2,32.8,21.5,2.9
JI7408,23-C-301,Ames01,88.76,32.95,21.25,3.9
JI7408,23-C-301,Ames02,75.96,,,
JI7408,23-C-301,Urbana,58.07,,,
JI7408,23-C-301,RockPort,79.13,,,
JI7408,23-C-301,Crawfordsville,79.57,32.15,21.45,2.9
VP9569,23-C-301,Lucas,77,32.15,22,2.7
VP9569,23-C-301,Ames01,75.61,33.25,20.85,3.5
VP9569,23-C-301,Urbana,46.02,,,
VP9569,23-C-301,Crawfordsville,87.25,32.1,21.45,2.9
VP9569,23-C-301,RockPort,80.26,,,
VP9569,23-C-301,Ames02,71.68,,,
IG8522,23-C-301,Urbana,60.58,,,
IG8522,23-C-301,Lucas,75.24,34.55,19.95,3.1
IG8522,23-C-301,Ames01,75.92,34.45,20,3.3
IG8522,23-C-301,RockPort,64.58,,,
IG8522,23-C-301,Ames02,75.23,,,
IG8522,23-C-301,Crawfordsville,84.78,34,19.95,3.3
AA6707,23-C-301,Crawfordsville,82.36,35.7,19.9,2.9
AA6707,23-C-301,Ames02,71.5,,,
AA6707,23-C-301,Lucas,72.73,36.3,19.75,2.9
AA6707,23-C-301,RockPort,72.75,,,
AA6707,23-C-301,Ames01,78.03,36.3,19.4,3.5
AA6707,23-C-301,Urbana,61.59,,,
LG8917,23-C-302,Crawfordsville,100.53,33.55,20.9,3.5
LG8917,23-C-302,Urbana,50.28,,,
LG8917,23-C-302,Lucas,88.23,33.4,21.5,2.9
LG8917,23-C-302,RockPort,75.75,,,
LG8917,23-C-302,Ames01,81.57,33.45,21,3.3
LG8917,23-C-302,Ames02,73.97,,,
KD5914,23-C-302,Ames02,68.97,,,
KD5914,23-C-302,Urbana,51.17,,,
KD5914,23-C-302,Ames01,72.2,34.9,19.9,3.5
KD5914,23-C-302,Lucas,78.16,34.85,20.25,2.5
KD5914,23-C-302,Crawfordsville,87.58,34.1,20,3.5
KD5914,23-C-302,RockPort,79.8,,,
GN5068,23-C-302,Crawfordsville,90.42,32.7,21,3.3
GN5068,23-C-302,Urbana,62.47,,,
GN5068,23-C-302,Lucas,83.95,33.2,21,2.9
GN5068,23-C-302,RockPort,82.75,,,
GN5068,23-C-302,Ames01,78.53,33,20.85,3.3
GN5068,23-C-302,Ames02,69.12,,,
PH8767,23-C-302,Urbana,59.96,,,
PH8767,23-C-302,Crawfordsville,88.41,33.2,21,3.1
PH8767,23-C-302,RockPort,78.9,,,
PH8767,23-C-302,Ames01,84.56,34.05,20.85,3.3
PH8767,23-C-302,Lucas,76.86,34.1,21.1,3.1
PH8767,23-C-302,Ames02,69.35,,,
IR5829,23-C-302,Ames01,71.97,33.05,21.75,3.3
IR5829,23-C-302,Urbana,48.14,,,
IR5829,23-C-302,Ames02,63.75,,,
IR5829,23-C-302,Lucas,68.4,33.1,22.25,3.3
IR5829,23-C-302,Crawfordsville,86.9,31.65,22.25,3.1
IR5829,23-C-302,RockPort,74.58,,,
RH3541,23-C-302,Lucas,72.19,33.55,21.25,2.9
RH3541,23-C-302,Ames01,74.17,33.45,21,2.9
RH3541,23-C-302,RockPort,75.12,,,
RH3541,23-C-302,Ames02,65.41,,,
RH3541,23-C-302,Urbana,51.1,,,
RH3541,23-C-302,Crawfordsville,90.7,32.8,21.35,3.1
TT3213,23-C-302,Ames02,73.27,,,
TT3213,23-C-302,Urbana,54.56,,,
TT3213,23-C-302,Crawfordsville,85.2,32.85,20.45,3.3
TT3213,23-C-302,Ames01,78.27,33.9,20.55,3.3
TT3213,23-C-302,Lucas,71.76,33.55,21,3.1
TT3213,23-C-302,RockPort,74.39,,,
FR3544,23-C-302,Lucas,80.67,32.8,20.75,2.9
FR3544,23-C-302,Urbana,55.65,,,
FR3544,23-C-302,Ames01,83.32,33.2,20,2.9
FR3544,23-C-302,Crawfordsville,87.82,32.8,20.35,3.3
FR3544,23-C-302,Ames02,72.82,,,
FR3544,23-C-302,RockPort,77.55,,,
OA1936,23-C-302,Urbana,54.98,,,
OA1936,23-C-302,Crawfordsville,91.86,34.45,20.45,3.1
OA1936,23-C-302,Ames01,79.95,34.6,20.3,3.3
OA1936,23-C-302,RockPort,83.3,,,
OA1936,23-C-302,Ames02,69.12,,,
OA1936,23-C-302,Lucas,82.38,34.95,20.3,2.9
GI6931,23-C-302,Ames02,73.94,,,
GI6931,23-C-302,Crawfordsville,104.4,34.15,19.5,3.1
GI6931,23-C-302,Ames01,85.8,35.05,19.8,2.7
GI6931,23-C-302,RockPort,84.33,,,
GI6931,23-C-302,Lucas,73.75,35.1,19.75,3.1
GI6931,23-C-302,Urbana,57.55,,,
LJ0404,23-C-302,RockPort,77.43,,,
LJ0404,23-C-302,Ames01,86.29,35.45,19.95,3.3
LJ0404,23-C-302,Urbana,55.27,,,
LJ0404,23-C-302,Crawfordsville,94.25,34.55,20.3,3.1
LJ0404,23-C-302,Ames02,78.22,,,
LJ0404,23-C-302,Lucas,73.14,34.85,20.6,3.1
VZ3201,23-C-302,Urbana,54.5,,,
VZ3201,23-C-302,Lucas,77.86,34.65,20.5,2.7
VZ3201,23-C-302,Ames02,69.55,,,
VZ3201,23-C-302,RockPort,71.75,,,
VZ3201,23-C-302,Crawfordsville,81.84,33.65,19.95,3.1
VZ3201,23-C-302,Ames01,72.73,34.95,19.85,2.9
HW1825,23-C-302,Urbana,57.34,,,
HW1825,23-C-302,Ames02,66.38,,,
HW1825,23-C-302,Crawfordsville,93.72,33.05,20.55,2.9
HW1825,23-C-302,Ames01,75.88,33.25,20.85,3.3
HW1825,23-C-302,Lucas,78.47,33.65,20.8,2.7
HW1825,23-C-302,RockPort,71.08,,,
YK5413,23-C-302,Crawfordsville,93.18,33.85,20.7,3.3
YK5413,23-C-302,Ames02,70.72,,,
YK5413,23-C-302,Urbana,60.2,,,
YK5413,23-C-302,RockPort,83.86,,,
YK5413,23-C-302,Ames01,64.42,34.65,20.3,3.3
YK5413,23-C-302,Lucas,71.86,34.6,21.05,3.3
FC3051,23-C-302,Urbana,53.16,,,
FC3051,23-C-302,Ames02,68.71,,,
FC3051,23-C-302,RockPort,80.51,,,
FC3051,23-C-302,Ames01,89.29,35.35,20.05,3.3
